Req ID,Feature Description,Nature,Status,Implementation Details / Scope
NFR-5,"Usability: Simple, intuitive flows for booking, driving, and role-switching.",NFR,Completed,The unified Flutter app has highly refined toggle buttons and tab-based booking screens.
NFR-6,"Localisation: Multi-language support (English, Sinhala, Tamil) and LKR currency formatting.",NFR,Completed,"Renders with LKR formats, and local strings are defined in the UI packages."
NFR-7,Offline tolerance: Activity history and saved addresses cached for read access when the device is offline.,NFR,Partially Completed,"Caches local user profiles, but activity histories require online state to load."
NFR-8,"Observability: All service flows (rides, deliveries, payments, loyalty) emit structured logs and business-event metrics.",NFR,Completed,All routes and services log status updates to stdout.
Food Delivery,"Order meals from 10,000+ local restaurants",Additional,Completed,Customer food checkout in [food_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/food_home_screen.dart) and backend restaurant manager ([restaurant.py](file:///var/www/ziggo/ziggo_backend/app/api/v1/restaurant.py)).
Merchant Admin,Restaurant Menu and Order manager,Additional,Completed,Menu and order control screens are available inside the driver/merchant toggle flows.
Mart Grocery,"Local groceries, dark stores & pharmacy products",Additional,Completed,Market catalog and cart checkouts live in [market_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/market_home_screen.dart).
Mart Vendor,Store catalog stock and product manager,Additional,Completed,Store inventory and stock manager dashboard endpoints are implemented.
Parcel Flash,Same-day courier deliveries (Document/S/M/L),Additional,Completed,Same-day courier booking flow is fully functional in [flash_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/flash_home_screen.dart).
Truck Mover,Moving Lorries with 1-3 helpers option + insurance,Additional,Completed,Lorry variants selection UI and helper options are configured in [vehicle_selection_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart).
Gold Pass,Subscriptions offering free delivery (LKR 549/mo),Additional,Completed,Gold subscription checkout [subscription_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/subscription_screen.dart) and backend models ([misc.py](file:///var/www/ziggo/ziggo_backend/app/models/misc.py)).
QR Scan & Go,Pay local merchants/drivers via scan codes,Additional,Completed,QR payment scanner and confirmation views are complete.
Incentives,Driver quest incentives milestones,Additional,Completed,Quests/incentives trackers widgets live in [driver_earnings_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_earnings_screen.dart).
Corporate accounts,Ziggo for Business billing & Cost Centers,Additional,Completed,"Invoicing billing profiles are supported in settings, linked to backend corporate routing."
Admin CRUD,Central Superadmin user management controls,Additional,Completed,Central controls over admin list and sub-roles in `admins.html` and `routes.py`.
Female-Driver Option,Feasibility study / option to match female riders with female drivers.,Additional,Partially Completed,Feasibility study complete ([Female_Drivers_Feature.docx](file:///var/www/ziggo/Female_Drivers_Feature.docx)). Migration adds `gender` field to `users` table ([add_pickme_profile_fields.py](file:///var/www/ziggo/ziggo_backend/alembic/versions/e104da0c7531_add_pickme_profile_fields.py)). Flutter profile screen supports updating gender ([edit_profile_screen.dart:L121](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/edit_profile_screen.dart#L121)). Matching rules and driver-side UI elements are not yet implemented.
